pert_id	cmap_name	moa	canonical_smiles	inchi_key	moa_l1000	moa_image
BRD-K91544578	nikethamide		CCN(CC)C(=O)c1cccnc1	NCYVXEGFNDZQCU-UHFFFAOYSA-N	Immunostimulant	immunostimulant
BRD-K84011460	nizofenone		CCN(CC)Cc1nccn1-c1ccc(cc1C(=O)c1ccccc1Cl)[N+]([O-])=O	WZGBZLHGOVJDET-UHFFFAOYSA-N	Ion channel antagonist	ion channel antagonist
BRD-K11196887	norfloxacin		CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1	OGJPXUAPXNRGGI-UHFFFAOYSA-N	Bacterial DNA gyrase inhibitor	bacterial DNA gyrase inhibitor
BRD-A14886633	norgestrel		CC[C@]12CCC3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C	WWYNJERNGUHSAO-NJTPJZBZSA-N	Progesterone receptor agonist	estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist
BRD-K85307935	novobiocin		CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C	YJQPYGGHQPGBLI-KGSXXDOSSA-N	Bacterial DNA gyrase inhibitor	bacterial DNA gyrase inhibitor
BRD-K64874225	NSC-4644		CC(=C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12	FVWJYYTZTCVBKE-ROUWMTJPSA-N		ACAT inhibitor|sterol regulatory element binding protein (SREBP) inhibitor
BRD-K74371986	NSI-189		CC(C)CCNc1ncccc1C(=O)N1CCN(Cc2ccccc2)CC1	DYTOQURYRYYNOR-UHFFFAOYSA-N		neurotrophic agent
BRD-K46133855	NXY-059		CC(C)(C)[N+]([O-])=Cc1ccc(cc1S(O)(=O)=O)S(O)(=O)=O	OVTCHWSLKGENKP-GHXNOFRVSA-N		free radical scavenger
BRD-A24228527	ofloxacin		CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O	GSDSWSVVBLHKDQ-UHFFFAOYSA-N	Bacterial DNA gyrase inhibitor	bacterial DNA gyrase inhibitor
BRD-K92303087	oglemilast		CS(=O)(=O)Nc1ccc2oc3c(OC(F)F)ccc(C(=O)Nc4c(Cl)cncc4Cl)c3c2c1	OKFDRAHPFKMAJH-UHFFFAOYSA-N	Phosphodiesterase inhibitor	phosphodiesterase inhibitor
BRD-A36331462	oprozomib		COC[C@H](NC(=O)[C@H](COC)NC(=O)c1cnc(C)s1)C(=O)N[C@@H](Cc1ccccc1)C(=O)C1(C)CO1	SWZXEVABPLUDIO-QNLBTCDKSA-N	Proteasome inhibitor	proteasome inhibitor
BRD-K67068943	ORE-1001		CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(O)=O)C(O)=O	NTCCRGGIJNDEAB-IRXDYDNUSA-N	Angiotensin converting enzyme inhibitor	angiotensin converting enzyme inhibitor
BRD-K41434598	ORG-9768		CC1(CN)Cc2ccccc2C1	JOLKQWPKJFRPOU-UHFFFAOYSA-N	Adrenergic receptor antagonist	adrenergic receptor antagonist
BRD-A53576514	orphenadrine		CN(C)CCOC(c1ccccc1)c1ccccc1C	QVYRGXJJSLMXQH-UHFFFAOYSA-N	Acetylcholine receptor antagonist	acetylcholine receptor antagonist
BRD-K93767137	oseltamivir-carboxylate		CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O	NENPYTRHICXVCS-YNEHKIRRSA-N	Neuraminidase inhibitor	neuraminidase inhibitor
BRD-K53417444	OTS-167		CN(C)C[C@H]1CC[C@@H](CC1)Nc1c(cnc2ccc(nc12)-c1cc(Cl)c(O)c(Cl)c1)C(C)=O	DKZYXHCYPUVGAF-JCNLHEQBSA-N	Maternal embryonic leucine zipper kinase inhibitor	maternal embryonic leucine zipper kinase inhibitor
BRD-A33447119	oxfendazole		COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)c1ccccc1	BEZZFPOZAYTVHN-UHFFFAOYSA-N	Anthelmintic agent	anthelmintic agent
BRD-K56104152	oxiconazole		Clc1ccc(CON=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	QRJJEGAJXVEBNE-HKOYGPOVSA-N	Bacterial cell wall synthesis inhibitor	bacterial cell wall synthesis inhibitor
BRD-K78096648	oxiperomide		Oc1nc2ccccc2n1C1CCN(CCOc2ccccc2)CC1	NVDBBGBUTKLRSN-UHFFFAOYSA-N	Dopamine receptor antagonist	dopamine receptor antagonist
BRD-K59037100	oxybenzone		COc1ccc(C(=O)c2ccccc2)c(O)c1	DXGLGDHPHMLXJC-UHFFFAOYSA-N	Lipase inhibitor	lipase inhibitor
BRD-K04185004	oxybuprocaine		CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC	CMHHMUWAYWTMGS-UHFFFAOYSA-N	Local anesthetic	local anesthetic
BRD-K96671969	PA-824		[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc1ccc(OC(F)(F)F)cc1	ZLHZLMOSPGACSZ-NSHDSACASA-N		nitric oxide donor
BRD-K66412701	pazufloxacin		C[C@H]1COc2c(c(F)cc3c2n1cc(C(O)=O)c3=O)C1(N)CC1	XAGMUUZPGZWTRP-ZETCQYMHSA-N	Topoisomerase inhibitor	topoisomerase inhibitor
BRD-K26603252	PD-153035		COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	LSPANGZZENHZNJ-UHFFFAOYSA-N	EGFR inhibitor	EGFR inhibitor
BRD-K31731454	pemirolast		Cc1cccn2c1ncc(-c1nnn[nH]1)c2=O	HIANJWSAHKJQTH-UHFFFAOYSA-N	Mediator release inhibitor	mediator release inhibitor
BRD-K47780086	penciclovir		Nc1nc(O)c2ncn(CCC(CO)CO)c2n1	JNTOCHDNEULJHD-UHFFFAOYSA-N	DNA directed DNA polymerase inhibitor	DNA directed DNA polymerase inhibitor
BRD-K15409150	penfluridol		OC1(CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F	MDLAAYDRRZXJIF-UHFFFAOYSA-N	T-type calcium channel blocker	T-type calcium channel blocker
BRD-K13183738	pentamidine		NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1	XDRYMKDFEDOLFX-UHFFFAOYSA-N	Anti-pneumocystis agent	anti-pneumocystis agent
BRD-K61691541	PF-03084014		CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(cn1)C(C)(C)CNCC(C)(C)C	VFCRKLWBYMDAED-REWPJTCUSA-N		gamma secretase inhibitor
BRD-K68747584	PF-03814735		CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1c1cc(Nc3ncc(c(NC4CCC4)n3)C(F)(F)F)ccc21	RYYNGWLOYLRZLK-RBUKOAKNSA-N		Aurora kinase inhibitor
BRD-K94420399	PF-04136309		O[C@]1(CC[C@@H](CC1)N[C@H]1CCN(C1)C(=O)CNC(=O)c1cccc(c1)C(F)(F)F)c1ccc(cn1)-c1ncccn1	ZNSVOHSYDRPBGI-LXWOLXCRSA-N		CC chemokine receptor antagonist
BRD-K46937689	phenazone		Cc1cc(=O)n(-c2ccccc2)n1C	VEQOALNAAJBPNY-UHFFFAOYSA-N	Cyclooxygenase inhibitor	cyclooxygenase inhibitor
BRD-K11399644	phenformin		NC(=N)NC(=N)NCCc1ccccc1	ICFJFFQQTFMIBG-UHFFFAOYSA-N	AMPK activator	AMPK activator
BRD-A18043272	phensuximide		CN1C(=O)CC(C1=O)c1ccccc1	WLWFNJKHKGIJNW-UHFFFAOYSA-N	Succinimide antiepileptic	succinimide antiepileptic
BRD-K70592483	phenylacetylglutamine		NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C(O)=O	JFLIEFSWGNOPJJ-JTQLQIEISA-N	DNA methylase inhibitor|Protein synthesis inhibitor	DNA methylase inhibitor|protein synthesis inhibitor
BRD-K67102207	phenylbutyrate		OC(=O)CCCc1ccccc1	OBKXEAXTFZPCHS-UHFFFAOYSA-N	HDAC inhibitor	HDAC inhibitor
BRD-K17026858	pibenzimol		CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1ccc2nc([nH]c2c1)-c1ccc(O)cc1	INAAIJLSXJJHOZ-UHFFFAOYSA-N	DNA inhibitor	DNA inhibitor
BRD-K01029106	picolinic-acid		O=C(O[Cr](OC(=O)c1ccccn1)OC(=O)c1ccccn1)c1ccccn1	CBDQOLKNTOMMTL-UHFFFAOYSA-K	Chelating agent	insulin sensitizer
BRD-A85548292	piketoprofen		CC(C(=O)Nc1cc(C)ccn1)c1cccc(c1)C(=O)c1ccccc1	ASFKKFRSMGBFRO-UHFFFAOYSA-N	Cyclooxygenase inhibitor	cyclooxygenase inhibitor
BRD-K49456274	pilaralisib		COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1	QINPEPAQOBZPOF-UHFFFAOYSA-N	PI3K inhibitor	PI3K inhibitor
BRD-A69275535	pinitol		COC1C(O)[C@@H](O)C(O)C(O)[C@H]1O	DSCFFEYYQKSRSV-LNEVVHJTSA-N	Gamma secretase inhibitor	gamma secretase inhibitor
BRD-K65992024	pirenoxine		OC(=O)c1cc(O)c2c3nc4ccccc4oc3cc(=O)c2n1	OKPNYGAWTYOBFZ-UHFFFAOYSA-N	AGE inhibitor	AGE inhibitor
BRD-A55913614	primaquine		COc1cc(NC(C)CCCN)c2ncccc2c1	INDBQLZJXZLFIT-UHFFFAOYSA-N	Antimalarial agent|DNA inhibitor	antimalarial agent|DNA inhibitor
BRD-K25204779	pritelivir		CN(C(=O)Cc1ccc(cc1)-c1ccccn1)c1nc(C)c(s1)S(N)(=O)=O	IVZKZONQVYTCKC-UHFFFAOYSA-N	Helicase primase inhibitor	helicase primase inhibitor
BRD-K28183345	proguanil		CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1	SSOLNOMRVKKSON-UHFFFAOYSA-N	Dihydrofolate reductase inhibitor	dihydrofolate reductase inhibitor
BRD-K99092662	PS-178990		Cc1c(ccc(C#N)c1Cl)N1C(=O)[C@@H]2[C@H](O)CCN2C1=O	KEJORAMIZFOODM-PWSUYJOCSA-N	Androgen receptor modulator	androgen receptor modulator
BRD-K07798980	PSI-6130		C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O	NYPIRLYMDJMKGW-VPCXQMTMSA-N		RNA polymerase inhibitor
BRD-K61693562	pyrazinoylguanidine		NC(=N)NC(=O)c1cnccn1	WNBSDCKJFDZMHT-UHFFFAOYSA-N	Diuretic	diuretic
BRD-K88429204	pyrimethamine		CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	WKSAUQYGYAYLPV-UHFFFAOYSA-N	Dihydrofolate reductase inhibitor	dihydrofolate reductase inhibitor
BRD-K52233191	R-547		COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(CC2)S(C)(=O)=O)nc1N	JRNJNYBQQYBCLE-UHFFFAOYSA-N	CDK inhibitor	CDK inhibitor
BRD-K84683831	radezolid		CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(c(F)c1)-c1ccc(CNCc2cnn[nH]2)cc1	BTTNOGHPGJANSW-IBGZPJMESA-N	Bacterial 30S ribosomal subunit inhibitor|Bacterial 50S ribosomal subunit inhibitor	bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor
BRD-K93123848	RAF-265		Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2cc(Oc3ccnc(c3)-c3ncc([nH]3)C(F)(F)F)ccc12	YABJJWZLRMPFSI-UHFFFAOYSA-N	RAF inhibitor|VEGFR inhibitor	RAF inhibitor|VEGFR inhibitor
BRD-K05658747	raltegravir		Cc1nnc(o1)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C	CZFFBEXEKNGXKS-UHFFFAOYSA-N	HIV integrase inhibitor	HIV integrase inhibitor
BRD-A15909516	rebamipide		OC(=O)C(Cc1cc(=O)[nH]c2ccccc12)NC(=O)c1ccc(Cl)cc1	ALLWOAVDORUJLA-UHFFFAOYSA-N	Free radical scavenger	free radical scavenger
BRD-K74190368	resorcinol		Oc1cccc(O)c1	GHMLBKRAJCXXBS-UHFFFAOYSA-N	Phosphodiesterase inhibitor	phosphodiesterase inhibitor
BRD-K17930269	retapamulin		C[C@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CS[C@H]1C[C@@H]2CC[C@H](C1)N2C	STZYTFJPGGDRJD-FAJFTSBPSA-N	Protein synthesis inhibitor	protein synthesis inhibitor
BRD-K02389548	RG-2833		Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccccc1N	VOPDXHFYDJAYNS-UHFFFAOYSA-N	HDAC inhibitor	HDAC inhibitor
BRD-K22024824	RG-4733		CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1c2ccccc2-c2ccccc2NC1=O	OJPLJFIFUQPSJR-INIZCTEOSA-N	Gamma secretase inhibitor	gamma secretase inhibitor
BRD-K30563334	rifabutin		CO[C@H]1C=CO[C@@]2(C)Oc3c(C2=O)c2c(c(O)c3C)c(O)c(NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c1=NC3(CCN(CC(C)C)CC3)N=c21	AZFBLLCNOQPJGJ-DVAZEERGSA-N	Protein synthesis inhibitor	
BRD-K06240250	rilpivirine		Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(cc2)C#N)n1	YIBOMRUWOWDFLG-ONEGZZNKSA-N	Non-nucleoside reverse transcriptase inhibitor	non-nucleoside reverse transcriptase inhibitor
BRD-A75479906	rimantadine		CC(N)C12CC3CC(CC(C3)C1)C2	UBCHPRBFMUDMNC-UHFFFAOYSA-N	Antiviral|RNA synthesis inhibitor	antiviral|RNA synthesis inhibitor
BRD-K03384561	roquinimex		CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	SGOOQMRIPALTEL-UHFFFAOYSA-N	Angiogenesis inhibitor|TNF production inhibitor	angiogenesis inhibitor|tumor necrosis factor production inhibitor
BRD-K03816923	rottlerin		CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)/C=C/c3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O	DEZFNHCVIZBHBI-ZHACJKMWSA-N	MAP kinase inhibitor|Protein kinase inhibitor	
BRD-K58211978	roxithromycin		CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O	RXZBMPWDPOLZGW-IVJCFNEOSA-N	Bacterial 50S ribosomal subunit inhibitor	bacterial 50S ribosomal subunit inhibitor
BRD-K02501528	S-18986		O=S1(=O)N[C@H]2CCCN2c2ccccc12	MNTIJYGEITVWHU-SNVBAGLBSA-N	Glutamate receptor modulator	glutamate receptor modulator
BRD-K93944989	safingol		CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO	OTKJDMGTUTTYMP-ZWKOTPCHSA-N	PKC inhibitor	PKC inhibitor
BRD-A26690767	saquinavir		CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	QWAXKHKRTORLEM-LINFGICFSA-N	HIV protease inhibitor	HIV protease inhibitor
BRD-K24968862	SB-683698		COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(O)=O)cc1	DRSJLVGDSNWQBI-SFHVURJKSA-N		integrin antagonist
BRD-A70083328	secnidazole		CC(O)Cn1c(C)ncc1[N+]([O-])=O	KPQZUUQMTUIKBP-UHFFFAOYSA-N	Acetylcholinesterase inhibitor|Microtubule inhibitor	acetylcholinesterase inhibitor|microtubule inhibitor
BRD-A58564983	selamectin		CO[C@H]1CC(O[C@H]2[C@@H](C)C=CC=C3/CO[C@@H]4C(=N/O)C(C)=C[C@@H](C(=O)O[C@H]5C[C@@H](CC=C2/C)O[C@@]2(CC[C@H](C)[C@H](O2)C2CCCCC2)C5)[C@]34O)O[C@@H](C)C1O	AFJYYKSVHJGXSN-XUCDQRGXSA-N	Nematocide	nematocide
BRD-K81957469	semagacestat		CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1c2ccccc2CCN(C)C1=O	PKXWXXPNHIWQHW-MAZHCROVSA-N	Gamma secretase inhibitor	gamma secretase inhibitor
BRD-A95939040	sertaconazole		Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1	JLGKQTAYUIMGRK-UHFFFAOYSA-N	Sterol demethylase inhibitor	sterol demethylase inhibitor
BRD-K71281111	SNX-2112		CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1	ZFVRYNYOPQZKDG-MQMHXKEQSA-N		HSP inhibitor
BRD-K80043866	sodium-gualenate		CC(C)c1ccc(C)c2c(cc(C)c2c1)S(O)(=O)=O	VIZXMHCBZLGUET-UHFFFAOYSA-N	Antacid	antacid
BRD-A26423207	sparfloxacin		CC1CN(C[C@H](C)N1)c1c(F)c(N)c2c(c1F)n(cc(C(O)=O)c2=O)C1CC1	DZZWHBIBMUVIIW-IENPIDJESA-N	Bacterial DNA gyrase inhibitor	bacterial DNA gyrase inhibitor
BRD-K43002771	SR-33805		COc1ccc(CCN(C)CCCOc2ccc(cc2)S(=O)(=O)c2c(C(C)C)c3ccccc3n2C)cc1OC	GCVFQRRBTCHIPK-UHFFFAOYSA-N		calcium channel blocker
BRD-K73524797	ST-1859		Oc1ccc2ccccc2c1Cc1c(O)ccc2ccccc12	ZPANWZBSGMDWON-UHFFFAOYSA-N		antiamyloidogenic agent
BRD-K93880783	stavudine		Cc1cn([C@@H]2O[C@H](CO)C=C2)c(=O)[nH]c1=O	XNKLLVCARDGLGL-JGVFFNPUSA-N	DNA directed DNA polymerase inhibitor|Reverse transcriptase inhibitor	DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor
BRD-K75911534	SU-014813		Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1	CTNPALGJUAXMMC-HKJBKDEOSA-N	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K85679373	sulbactam		CC1(C)[C@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O	FKENQMMABCRJMK-PHDIDXHHSA-N	Beta lactamase inhibitor	beta lactamase inhibitor
BRD-K12539416	sulbutiamine		CC(C)C(=O)OCCC(SSC(CCOC(=O)C(C)C)=C(/C)N(Cc1cnc(C)nc1N)C=O)=C(C)N(Cc1cnc(C)nc1N)C=O	CKHJPWQVLKHBIH-GPAWKIAZSA-N	Acetylcholine receptor antagonist	acetylcholine receptor antagonist
BRD-K50859149	sulfafurazole		Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C	NHUHCSRWZMLRLA-UHFFFAOYSA-N	Bacterial antifolate	bacterial antifolate
BRD-K15170068	swainsonine		O[C@@H]1CN2CCC[C@@H](O)[C@@H]2[C@@H]1O	FXUAIOOAOAVCGD-WCTZXXKLSA-N	Alpha mannosidase inhibitor	alpha mannosidase inhibitor
BRD-K52313696	tacedinaline		CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N	VAZAPHZUAVEOMC-UHFFFAOYSA-N	HDAC inhibitor	HDAC inhibitor
BRD-K59506194	targinine		CNC(=N)NCCC[C@H](N)C(O)=O	NTNWOCRCBQPEKQ-YFKPBYRVSA-N	Nitric oxide synthase inhibitor	nitric oxide synthase inhibitor
BRD-K42495768	tasisulam		Clc1ccc(C(=O)NS(=O)(=O)c2ccc(Br)s2)c(Cl)c1	WWONFUQGBVOKOF-UHFFFAOYSA-N	Apoptosis stimulant	apoptosis stimulant
BRD-A18611368	tazobactam		C[C@]1(Cn2ccnn2)C(N2C(CC2=O)S1(=O)=O)C(O)=O	LPQZKKCYTLCDGQ-KTOWXAHTSA-N	Beta lactamase inhibitor	beta lactamase inhibitor
BRD-K06900071	tebipenem		C[C@@H](O)[C@@H]1[C@@H]2[C@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C	SNUDIPVBUUXCDG-MXYBEHONSA-N	Bacterial cell wall synthesis inhibitor	bacterial cell wall synthesis inhibitor
BRD-K59436580	tedizolid		Cn1nnc(n1)-c1ccc(cn1)-c1ccc(cc1F)N1C[C@H](CO)OC1=O	XFALPSLJIHVRKE-GFCCVEGCSA-N	Bacterial 50S ribosomal subunit inhibitor	bacterial 50S ribosomal subunit inhibitor
BRD-K26701552	tegobuvir		Fc1ccccc1-c1nc2ccn(Cc3ccc(nn3)-c3ccc(cc3C(F)(F)F)C(F)(F)F)cc2n1	XBEQSQDCBSKCHJ-UHFFFAOYSA-N	HCV inhibitor|Protease inhibitor	HCV inhibitor|protease inhibitor
BRD-K15976406	telbivudine		Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O	IQFYYKKMVGJFEH-CSMHCCOUSA-N	DNA polymerase inhibitor	DNA polymerase inhibitor
BRD-A05523972	telmesteine		CCOC(=O)N1CSCC1C(O)=O	XBJWOGLKABXFJE-UHFFFAOYSA-N	Mucolytic agent	mucolytic agent
BRD-A87479750	tenidap		NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc12	IGPDWKCUDHIIRL-UHFFFAOYSA-N	Cyclooxygenase inhibitor	cyclooxygenase inhibitor
BRD-K68132782	terbinafine		CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12	DOMXUEMWDBAQBQ-WEVVVXLNSA-N	Fungal squalene epoxidase inhibitor	fungal squalene epoxidase inhibitor
BRD-A39935389	teroxirone		O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1	OUPZKGBUJRBPGC-UHFFFAOYSA-N	DNA inhibitor	DNA inhibitor
BRD-A55393291	testosterone		C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@@H]2O	MUMGGOZAMZWBJJ-PPORCNLBSA-N	Androgen receptor agonist	
BRD-K34888156	theobromine		Cn1cnc2n(C)c(=O)[nH]c(=O)c12	YAPQBXQYLJRXSA-UHFFFAOYSA-N	Phosphodiesterase inhibitor	phosphodiesterase inhibitor
BRD-A16347691	thioctic-acid		OC(=O)CCCCC1CCSS1	AGBQKNBQESQNJD-UHFFFAOYSA-N	Reducing agent|Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor	reducing agent
BRD-K61443650	thiomersal		CC[Hg]Sc1ccccc1C(O)=O	HXQVQGWHFRNKMS-UHFFFAOYSA-M	Other antibiotic	other antibiotic
BRD-K77695569	tiabendazole		c1nc(cs1)-c1nc2ccccc2[nH]1	WJCNZQLZVWNLKY-UHFFFAOYSA-N	Angiogenesis inhibitor	angiogenesis inhibitor
BRD-K10845183	tiludronate		OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O	DKJJVAGXPKPDRL-UHFFFAOYSA-N	Bone resorption inhibitor|Osteoclast inhibitor	bone resorption inhibitor|osteoclast inhibitor
BRD-A38592941	timonacic		OC(=O)C1CSCN1	DZLNHFMRPBPULJ-UHFFFAOYSA-N	Antioxidant	antioxidant
BRD-A33084557	tioconazole		Clc1sccc1COC(Cn1ccnc1)c1ccc(Cl)cc1Cl	QXHHHPZILQDDPS-UHFFFAOYSA-N	Sterol demethylase inhibitor	sterol demethylase inhibitor
BRD-K75649340	tioguanine		Nc1nc(S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1	OTDJAMXESTUWLO-UUOKFMHZSA-N	Purine antagonist	purine antagonist
BRD-A10039652	tipranavir		CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1	MYXACKZCYFKMTE-JETRDCLMSA-N	HIV protease inhibitor	HIV protease inhibitor
BRD-K92968657	tirapazamine		Nc1n[n+]([O-])c2ccccc2[n+]1[O-]	ORYDPOVDJJZGHQ-UHFFFAOYSA-N	DNA inhibitor	DNA inhibitor
BRD-K51087630	tirasemtiv		CCC(CC)n1c2nc(cnc2[nH]c1=O)C#C	RSQGZEAXODVTOL-UHFFFAOYSA-N	Troponin activator	troponin activator
BRD-K06335600	tizanidine		Clc1ccc2nsnc2c1NC1=NCCN1	XFYDIVBRZNQMJC-UHFFFAOYSA-N	Adrenergic receptor agonist	adrenergic receptor agonist
BRD-K96342952	tobramycin		NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@@H]3O)[C@@H]2O)[C@@H](N)C[C@@H]1O	NLVFBUXFDBBNBW-RJHRXKMUSA-N	Bacterial 30S ribosomal subunit inhibitor	bacterial 30S ribosomal subunit inhibitor
BRD-K32164935	tolazamide		Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1	OUDSBRTVNLOZBN-UHFFFAOYSA-N	ATP channel blocker	ATP channel blocker
BRD-K50133271	tolfenamic-acid		Cc1c(Cl)cccc1Nc1ccccc1C(O)=O	YEZNLOUZAIOMLT-UHFFFAOYSA-N	Cyclooxygenase inhibitor|Prostanoid receptor antagonist|Leukotriene synthesis inhibitor|Prostanoid receptor inhibitor	cyclooxygenase inhibitor|prostanoid receptor antagonist
BRD-K44273375	tolnaftate		CN(C(=S)Oc1ccc2ccccc2c1)c1cccc(C)c1	FUSNMLFNXJSCDI-UHFFFAOYSA-N	Fungal squalene epoxidase inhibitor	fungal squalene epoxidase inhibitor
BRD-K91822704	torcitabine		Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	CKTSBUTUHBMZGZ-SHYZEUOFSA-N	DNA polymerase inhibitor	DNA polymerase inhibitor
BRD-K17849083	tranilast		COc1ccc(C=CC(=O)Nc2ccccc2C(O)=O)cc1OC	NZHGWWWHIYHZNX-CSKARUKUSA-N	Angiogenesis inhibitor	angiogenesis inhibitor
BRD-K07208025	trimethoprim		COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	IEDVJHCEMCRBQM-UHFFFAOYSA-N	Dihydrofolate reductase inhibitor	dihydrofolate reductase inhibitor
BRD-K81258678	triptolide		CC(C)[C@@]12O[C@@H]1[C@@H]1O[C@]11[C@]3(O[C@@H]3C[C@@H]3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O	DFBIRQPKNDILPW-LKUXBXJISA-N	RNA polymerase inhibitor	RNA polymerase inhibitor
